,Date,Location,Type,Startdate,Enddate,Participation,Ranks,Round
39,17 Jul - 23 Jul,GSTAAD Ladies Championship Gstaad by iXion Services,International,7/17/2017,7/23/2017,0,2,0
40,17 Jul - 23 Jul,BUCHAREST Bucharest Open,International,7/17/2017,7/23/2017,0,2,0
41,24 Jul - 30 Jul,BASTAD Ericsson Open,International,7/24/2017,7/30/2017,0,2,0
42,24 Jul - 30 Jul,NANCHANG JiangXi Open,International,7/24/2017,7/30/2017,0,2,0
43,31 Jul - 06 Aug,STANFORD Bank of the West Classic,Premier,7/31/2017,8/6/2017,0,3,0
44,31 Jul - 06 Aug,"WASHINGTON, D.C. Citi Open",International,7/31/2017,8/6/2017,0,2,0
45,07 Aug - 13 Aug,TORONTO Rogers Cup presented by National Bank,Premier 5,8/7/2017,8/13/2017,0,4,0
46,14 Aug - 20 Aug,CINCINNATI Western & Southern Open,Premier 5,8/14/2017,8/20/2017,0,4,0
47,20 Aug - 26 Aug,NEW HAVEN Connecticut Open presented by United Technologies,Premier,8/20/2017,8/26/2017,0,3,0
48,28 Aug - 10 Sep,FLUSHING MEADOWS US Open,Grand Slam,8/28/2017,9/10/2017,0,7,0
49,05 Sep - 10 Sep,DALIAN Dalian Women's Tennis Open,125K Series,9/5/2017,9/10/2017,0,0,0
50,11 Sep - 17 Sep,QUEBEC CITY Coupe Banque Nationale,International,9/11/2017,9/17/2017,0,2,0
51,11 Sep - 17 Sep,TOKYO Japan Women's Open Tennis,International,9/11/2017,9/17/2017,0,2,0
52,18 Sep - 24 Sep,TOKYO Toray Pan Pacific Open,Premier,9/18/2017,9/24/2017,0,3,0
53,18 Sep - 24 Sep,SEOUL Korea Open,International,9/18/2017,9/24/2017,0,2,0
54,18 Sep - 23 Sep,GUANGZHOU Guangzhou Open,International,9/18/2017,9/23/2017,0,2,0
55,24 Sep - 30 Sep,WUHAN Wuhan Open,Premier 5,9/24/2017,9/30/2017,0,4,0
56,25 Sep - 30 Sep,TASHKENT Tashkent Open,International,9/25/2017,9/30/2017,0,2,0
57,30 Sep - 08 Oct,BEIJING China Open,Premier Mandatory,9/30/2017,10/8/2017,0,5,0
58,09 Oct - 15 Oct,LINZ Ladies Linz presented by Upper Austria,International,10/9/2017,10/15/2017,0,2,0
59,09 Oct - 15 Oct,TIANJIN Tianjin Open,International,10/9/2017,10/15/2017,0,2,0
60,09 Oct - 15 Oct,HONG KONG Prudential Hong Kong Tennis Open,International,10/9/2017,10/15/2017,0,2,0
61,16 Oct - 21 Oct,MOSCOW VTB Kremlin Cup,Premier,10/16/2017,10/21/2017,0,3,0
62,16 Oct - 21 Oct,LUXEMBOURG BGL BNP Paribas Luxembourg Open,International,10/16/2017,10/21/2017,0,2,0
63,22 Oct - 29 Oct,SINGAPORE BNP Paribas WTA Finals Singapore presented by SC Global,Finals,10/22/2017,10/29/2017,0,6,0
64,31 Oct - 05 Nov,ZHUHAI WTA Elite Trophy Zhuhai,Finals,10/31/2017,11/5/2017,0,6,0
65,06 Nov - 12 Nov,HUA HIN WTA EA Hua Hin Championship 2017,125K Series,11/6/2017,11/12/2017,0,0,0
66,06 Nov - 12 Nov,LIMOGES ENGIE Open de Limoges,125K Series,11/6/2017,11/12/2017,0,0,0
67,13 Nov - 19 Nov,TAIPEI OEC Taipei WTA 125K Series,125K Series,11/13/2017,11/19/2017,0,0,0
68,20 Nov - 26 Nov,HONOLULU Hawaii Open,125K Series,11/20/2017,11/26/2017,0,0,0
